rank,stadium,capacity,region,country,city,images,home_team,location
173,BORUSSIA-PARK,54057,Europe,Germany,Mönchengladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/150px-Borussia-Park_DEU-FRA_2011.jpg,Borussia,"[51.17462495, 6.3854093679]"
174,Moses,54000,Africa,South,"Durban,",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/150px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,AmaZulu,"[28.5388088, 33.9751845]"
175,Busan,53864,East,South,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/150px-BusanAsiadStadium.jpg,Busan,"[34.5138842, 128.7792339]"
176,Estádio,53645,South,Brazil,"Belém,",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Mangueir%C3%A3o_em_2023.jpg/150px-Mangueir%C3%A3o_em_2023.jpg,Paysandu,"[-1.45056, -48.4682453]"
177,Estadio,53600,South,Argentina,La,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/EstadioUnicoLaPlata_Interior_June2014.jpg/150px-EstadioUnicoLaPlata_Interior_June2014.jpg,Text esta vazio,"[-27.4868943, -55.1182311]"
178,Adelaide,53500,Oceania,Australia,"Adelaide,",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/After_Game_Kick_and_Catch_%2813750115664%29.jpg/150px-After_Game_Kick_and_Catch_%2813750115664%29.jpg,Adelaide,"[-34.9281805, 138.5999312]"
179,Docklands,53359,Oceania,Australia,"Melbourne,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/150px-Melbourne_Derby_December_2014.jpg,Western,"[-37.8175423, 144.9394923]"
180,Estádio,53350,South,Brazil,"Uberlândia,",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/150px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,Uberlânia,"[-18.9188041, -48.2767837]"
181,San,53332,Europe,Spain,Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/150px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,Athletic,"[42.6457342, -8.8749239]"
182,Aleppo,53200,West,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/150px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,Al-Ittihad,"[36.19924, 37.1637253]"
183,Estadio,53086,South,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/150px-Estadio_Nacional_nuevo_07_10_2011.jpg,Peru,"[-12.0621065, -77.0365256]"
184,Huanglong,52672,East,China,"Hangzhou,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/150px-Hangzhou-yellow-dragon-stad.jpg,Hangzhou,"[35.728611, 109.897222]"
185,RAMS,52652,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/150px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray,"[41.10342555, 28.9910379503]"
186,Suncorp,52500,Oceania,Australia,"Brisbane,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/150px-Suncorpstadium071006a.JPG,Brisbane,"[-37.9873914, 145.2147931]"
187,St.,52405,Europe,England,Newcastle,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/150px-StJamesParkPanorama.jpg,Newcastle,"[51.1267494, -2.7397217]"
