rank,stadium,capacity,region,country,city,images,home_team,location
356,Al-Thumama,40000,West,Qatar,Al-Thumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/150px-Al_Thumama_Stadium_%282%29.jpg,Text esta vazio,"[25.234937, 51.5614654]"
357,Stade,40000,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/150px-Stade_Ahmed_Zabana_2.jpg,MC,"[35.7044415, -0.6502981]"
358,Stadion,40000,Southeast,Indonesia,"Balikpapan,",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/150px-2017-11-14_Batakan.jpg,Persiba,"[-1.2398711, 116.8593379]"
359,Stadion,40000,Southeast,Indonesia,"Gresik,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/150px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,Gresik,"[-1.7, 109.133333]"
360,Fisht,40000,Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/150px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,Text esta vazio,"[43.40202205, 39.9559390973]"
361,Rentschler,40000,North,United,East,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/150px-Rentschler_Field_2017.jpg,Text esta vazio,"[-37.7055532, 148.464601982]"
362,Jawaharlal,40000,South,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/150px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,Kerala,"[9.9674277, 76.2454436]"
363,Hang,40000,Southeast,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/150px-Stadium_Hang_Jebat_015342.jpg,Melaka,"[2.312416, 102.319877559]"
364,Hong,40000,East,Hong,So,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/150px-Hong_Kong_Stadium-1.jpg,South,"[61.300069, 10.256239]"
365,Stadium,40000,Southeast,Malaysia,Batu,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/150px-Batu_Kawan_Stadium%2CPenang.jpg,Penang,"[3.2018234, 101.6710223]"
366,Accra,40000,Africa,Ghana,Accra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Accra,"[5.5571096, -0.2012376]"
367,Sarawak,40000,Southeast,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/150px-Stadium_Sarawak.JPG,Sarawak,"[2.5023855, 112.9547283]"
368,Bogyoke,40000,Southeast,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/150px-Aungsan_Stadium.jpg,Yangon,"[20.23755, 97.7242]"
369,Resonac,40000,East,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/150px-%C5%8Cita_Stadium_2023-03.jpg,Ōita,"[33.20078235, 131.6574852132]"
370,Stadium,40000,Southeast,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/150px-Stadium_Pahang.jpg,Pahang,"[3.7985637, 103.32199]"
371,Khalifa,40000,West,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/150px-Khalifa_International_Stadium.jpg,Qatar,"[25.26365305, 51.4492244658]"
372,Stade,40000,Africa,Gabon,Libreville,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Gabon,"[0.4219719, 9.4794404]"
373,Peoples,40000,South,Pakistan,Karachi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Pakistan,"[30.174766, 71.498423]"
374,JRD,40000,South,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/150px-J.R.D._Tata_Stadium.jpg,Jamshedpur,"[-23.442581, -46.9123975]"
375,Bao'an,40000,East,China,"Shenzhen,",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/150px-Bao%27an_Stadium.jpg,Text esta vazio,"[22.5598573, 113.8790404]"
376,Kunming,40000,East,China,"Kunming,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/150px-Kunming_07.JPG,China,"[25.0363006, 102.7086139]"
377,Taizhou,40000,East,China,"Taizhou,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[32.4579729, 119.9181174]"
378,Wuhu,40000,East,China,"Wuhu,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[31.1800568, 118.2141777]"
379,Huizhou,40000,East,China,"Huizhou,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[23.1125153, 114.4127007]"
